REFSEQ,logFC,AveExpre,T,Pvalue,Adj.P.Value,B
NM_032020,0.698426465,5.126683303,2.225706259,0.027302683,0.982857705,-3.935249424
NP_114409,0.698426465,5.126683303,2.225706259,0.027302683,0.982857705,-3.935249424
NM_001199898,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NM_001199899,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NM_001199900,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NM_002611,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NP_001186827,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NP_001186828,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NP_001186829,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NP_002602,-0.474323762,4.47975592,-2.169733154,0.031366612,0.982857705,-3.95709323
NM_013262,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
NP_037394,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XM_005249032,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XM_005249033,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XM_017010789,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XP_005249089,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XP_005249090,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
XP_016866278,-0.814265579,2.977558179,-2.301795065,0.022517177,0.982857705,-3.947890123
NM_001037343,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NM_001323289,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NM_003159,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NP_001032420,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NP_001310218,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NP_003150,-1.039525815,2.811049835,-2.273996666,0.024172769,0.982857705,-3.956654501
NM_001198993,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_001198994,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_001198995,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_001353641,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_001353642,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_023018,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_001185922,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_001185923,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_001185924,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_001340570,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_001340571,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NP_075394,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_006710839,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_011542006,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_011542007,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_011542008,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_011542009,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_017002143,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_017002144,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_017002145,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XM_017002146,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_006710902,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_011540308,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_011540309,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_011540310,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_011540311,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_016857632,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_016857633,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_016857634,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XP_016857635,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XR_001737371,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
XR_946747,0.424901921,5.401806934,2.292826344,0.023040125,0.982857705,-3.850470481
NM_006754,0.669773127,6.167303132,2.11336979,0.035977595,0.982857705,-3.984226588
NM_182715,0.669773127,6.167303132,2.11336979,0.035977595,0.982857705,-3.984226588
NP_006745,0.669773127,6.167303132,2.11336979,0.035977595,0.982857705,-3.984226588
NP_874384,0.669773127,6.167303132,2.11336979,0.035977595,0.982857705,-3.984226588
NM_001242779,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NM_001370529,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NM_002037,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NM_153047,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NM_153048,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NP_001357458,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NP_002028,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NP_694592,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
