# Argument List:
# Name = NA
# peak file = GSM803375_hg19.bed
# distance = 100000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr1	567704	567793	NR_106781	781.824	-	MIR6723
chr1	562759	564389	NR_125957	722.215	-	LOC101928626
chr11	10529433	10530723	NM_001190702	188.563	-	MTRNR2L8
chr11	10529816	10529873	NR_039705	184.323	-	MIR4485
chr5	134263728	134263802	NR_039666	152.430	+	MIR4461
chr5	79945818	79946854	NM_001190470	115.456	-	MTRNR2L2
chr5	79950466	80172634	NM_002439	102.573	+	MSH3
chr5	79922044	79950800	NR_110936	101.211	-	DHFR
chr5	79922044	79950800	NM_000791	101.211	-	DHFR
chr5	79922044	79950800	NM_001290354	101.211	-	DHFR
chr5	79922044	79950800	NM_001290357	101.211	-	DHFR
chr1	621095	622034	NM_001005277	93.702	-	OR4F16
chr1	621095	622034	NM_001005224	93.702	-	OR4F3
chr1	621095	622034	NM_001005221	93.702	-	OR4F29
chr5	134240809	134298336	NM_032151	73.146	+	PCBD2
chr11	10533224	10562774	NM_016422	53.585	-	RNF141
chr11	10562782	10621479	NR_046375	53.568	+	MRVI1-AS1
chr11	10562782	10621479	NR_046374	53.568	+	MRVI1-AS1
chr11	10562782	10621479	NR_034093	53.568	+	MRVI1-AS1
chr11	10562782	10621479	NR_034094	53.568	+	MRVI1-AS1
chr5	79904439	79918343	NR_125754	37.361	-	LINC01337
chr5	134303595	134347397	NM_178019	30.939	+	CATSPER3
chr11	10482677	10529126	NM_001172430	28.028	+	AMPD3
chr11	10477480	10529126	NM_001025390	22.767	+	AMPD3
chr11	10476665	10529126	NM_001025389	22.037	+	AMPD3
chr5	134209459	134237323	NM_024715	20.873	+	TXNDC15
chr13	110053042	110053986	NR_126361	20.621	+	LINC00399
chr17	22022436	22023991	NM_001190452	18.753	+	MTRNR2L1
chr11	10472223	10529126	NM_000480	18.450	+	AMPD3
chr11	10471867	10529126	NM_001172431	18.189	+	AMPD3
chr11	10579412	10590365	NM_006691	17.772	-	LYVE1
chr1	661138	665731	NR_028327	14.960	-	LOC100133331
chr7	142374130	142375525	NM_001190487	14.089	+	MTRNR2L6
chrX	55207823	55208944	NM_001190708	10.557	-	MTRNR2L10
chr1	38032412	38061586	NM_013285	9.996	-	GNL2
chr18	2847027	2914090	NM_032048	9.536	+	EMILIN2
chr1	38076950	38100595	NM_001242908	7.430	-	RSPO1
chr1	38076950	38100595	NM_001242910	7.430	-	RSPO1
chr1	38076950	38100595	NM_001038633	7.430	-	RSPO1
chr1	38076950	38100595	NM_001242909	7.430	-	RSPO1
chr5	134181657	134195425	NM_001135586	6.865	+	C5orf24
chr5	134181657	134195425	NM_001300894	6.865	+	C5orf24
chr5	134181369	134195425	NM_152409	6.786	+	C5orf24
chr6	62284007	62284534	NM_001190706	5.441	+	MTRNR2L9
chr8	100548863	100548958	NR_030329	4.975	-	MIR599
chr8	100549013	100549089	NR_030596	4.949	-	MIR875
chrX	55169534	55187628	NM_138362	4.813	-	FAM104B
chrX	55171677	55187628	NM_001166704	4.813	-	FAM104B
chrX	55171677	55187628	NM_001166701	4.813	-	FAM104B
chrX	55169534	55187628	NM_001166699	4.813	-	FAM104B
chrX	55171677	55187628	NM_001166700	4.813	-	FAM104B
chrX	55169534	55187628	NR_030722	4.813	-	FAM104B
chrX	55171677	55187567	NM_001166702	4.801	-	FAM104B
chrX	55171677	55187535	NM_001166703	4.795	-	FAM104B
chr5	79852573	79866304	NM_001004441	4.660	-	ANKRD34B
chrX	55246779	55250541	NM_001013435	2.324	+	PAGE5
chrX	55246779	55250541	NM_130467	2.324	+	PAGE5
chr1	38022519	38032458	NM_003462	2.095	+	DNALI1
chr1	38000049	38019945	NM_024700	1.890	-	SNIP1
chr12	41831540	41968392	NM_013377	0.972	+	PDZRN4
chr1	38147241	38156267	NM_017850	0.801	-	C1orf109
chr1	38147241	38156267	NM_001303030	0.801	-	C1orf109
chr1	38147241	38156267	NM_001303031	0.801	-	C1orf109
chrX	125683365	125686842	NM_178470	0.783	-	DCAF12L1
chr2	49189295	49381666	NM_000145	0.777	-	FSHR
chr2	49189295	49381666	NM_181446	0.777	-	FSHR
chr1	38158072	38175391	NM_018101	0.746	+	CDCA8
chr1	38158072	38175391	NM_001256875	0.746	+	CDCA8
chr18	45359465	45456970	NM_005901	0.606	-	SMAD2
chr18	45359465	45457517	NM_001135937	0.593	-	SMAD2
chr18	45359465	45457517	NM_001003652	0.593	-	SMAD2
chrX	55284848	55291165	NR_033460	0.394	-	PAGE3
chrX	55284848	55291279	NM_001017931	0.392	-	PAGE3
chrX	55284848	55291279	NM_001171252	0.392	-	PAGE3
chrX	55284848	55291349	NM_001303613	0.391	-	PAGE3
chr1	37955560	37980420	NM_022756	0.389	-	MEAF6
chr1	37955560	37980420	NR_073090	0.389	-	MEAF6
chr1	37955560	37980420	NM_001270876	0.389	-	MEAF6
chr1	37955560	37980420	NM_001270875	0.389	-	MEAF6
chr1	37955560	37980420	NR_073092	0.389	-	MEAF6
chr1	37955560	37980420	NR_073091	0.389	-	MEAF6
chrX	55115484	55119269	NM_207339	0.269	+	PAGE2
chrX	55306520	55315219	NR_130179	0.213	+	LOC100421746
chr7	45197366	45223850	NM_005856	0.126	+	RAMP3
